Day,Month,Year,Venue,City,Country,Tour,Latitude,Longitude
25,Mar,1970,Revolution Club,London,United Kingdom,first UK tour,52.289,-1.259
21,Apr,1970,Roundhouse,London,United Kingdom,first UK tour,52.289,-1.259
7,May,1970,Roadhouse,London,United Kingdom,first UK tour,52.289,-1.259
9,May,1970,Slough College Main Hall,Slough,United Kingdom,first UK tour,52.289,-1.259
22,May,1970,BBC Studios,London,United Kingdom,first UK tour,52.289,-1.259
6,Jun,1970,Marquee Club,London,United Kingdom,first UK tour,52.289,-1.259
13,Jun,1970,Queens Hall,Narberth,United Kingdom,first UK tour,52.289,-1.259
17,Jun,1970,Lyceum Ballroom,London,United Kingdom,first UK tour,52.289,-1.259
26,Jun,1970,St Mary's College,Twickenham,United Kingdom,first UK tour,52.289,-1.259
3,Jul,1970,Hampstead Country Club,London,United Kingdom,first UK tour,52.289,-1.259
4,Jul,1970,Speakeasy,London,United Kingdom,first UK tour,52.289,-1.259
14,Aug,1970,Barkisland,Yorkshire,United Kingdom,Yorkshire Folk Blues and Jazz Festival,52.289,-1.259
25,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour,40.079,-98.816
26,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour,40.079,-98.816
27,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour,40.079,-98.816
28,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour,40.079,-98.816
29,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour,40.079,-98.816
30,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour,40.079,-98.816
8,Sep,1970,unknown,San Francisco,United States of America,first United States of America tour,40.079,-98.816
11,Sep,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour,40.079,-98.816
12,Sep,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour,40.079,-98.816
2,Oct,1970,Royal Albert Hall,London,United Kingdom,Fotheringay support act,52.289,-1.259
29,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour,40.079,-98.816
30,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour,40.079,-98.816
31,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour,40.079,-98.816
6,Nov,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour,40.079,-98.816
7,Nov,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour,40.079,-98.816
8,Nov,1970,Painters Mill Music Fair,Owings Mills,United States of America,first United States of America tour,40.079,-98.816
12,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour,40.079,-98.816
13,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour,40.079,-98.816
14,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour,40.079,-98.816
15,Nov,1970,Santa Monica Civic Auditorium,Los Angeles,United States of America,first United States of America tour,40.079,-98.816
17,Nov,1970,A&R Studios,New York,United States of America,first United States of America tour,40.079,-98.816
20,Nov,1970,Fillmore East,New York,United States of America,first United States of America tour,40.079,-98.816
21,Nov,1970,Fillmore East,New York,United States of America,first United States of America tour,40.079,-98.816
22,Nov,1970,University Of Bridgeport,Bridgeport,United States of America,first United States of America tour,40.079,-98.816
23,Nov,1970,Glassboro State College,Glassboro,United States of America,first United States of America tour,40.079,-98.816
25,Nov,1970,Auditorium Theatre,Chicago,United States of America,first United States of America tour,40.079,-98.816
26,Nov,1970,Cleveland Music Hall,Cleveland,United States of America,first United States of America tour,40.079,-98.816
27,Nov,1970,Eastown Theatre,Detroit,United States of America,first United States of America tour,40.079,-98.816
