Country,Count
United States of America,1979
United Kingdom,573
Australia,245
Germany,194
France,140
Canada,132
Italy,64
Spain,51
Ireland,42
Japan,41
Norway,41
Switzerland,39
Sweden,34
Denmark,29
Austria,27
Russia,27
New Zealand,26
Belgium,24
Brazil,20
Netherlands,19
South Africa,14
Poland,12
Mexico,11
China,10
Finland,9
Monaco,9
Czech Republic,8
Israel,8
Portugal,7
Hong Kong,6
Singapore,6
Chile,5
Turkey,5
United Arab Emirates,5
Argentina,4
Hungary,4
Lithuania,4
Croatia,3
Greece,3
Latvia,3
Lebanon,3
Luxembourg,3
Peru,3
Slovakia,3
South Korea,3
Ukraine,3
Belarus,2
Costa Rica,2
Estonia,2
Malaysia,2
Malta,2
Romania,2
Serbia,2
Taiwan,2
Uruguay,2
Venezuela,2
Andorra,1
Azerbaijan,1
Bosnia and Herzegovina,1
Bulgaria,1
Colombia,1
Cyprus,1
Dominican Republic,1
Ecuador,1
Faroe Islands,1
Gibraltar,1
Iceland,1
India,1
Indonesia,1
Isle of Man,1
Morocco,1
Panama,1
Paraguay,1
Philippines,1
Puerto Rico,1
Slovenia,1
Thailand,1
