Day,Month,Year,Venue,City,Country,Tour
25,Mar,1970,Revolution Club,London,United Kingdom,first UK tour
21,Apr,1970,Roundhouse,London,United Kingdom,first UK tour
7,May,1970,Roadhouse,London,United Kingdom,first UK tour
9,May,1970,Slough College Main Hall,Slough,United Kingdom,first UK tour
22,May,1970,BBC Studios,London,United Kingdom,first UK tour
6,Jun,1970,Marquee Club,London,United Kingdom,first UK tour
13,Jun,1970,Queens Hall,Narberth,United Kingdom,first UK tour
17,Jun,1970,Lyceum Ballroom,London,United Kingdom,first UK tour
26,Jun,1970,St Mary's College,Twickenham,United Kingdom,first UK tour
3,Jul,1970,Hampstead Country Club,London,United Kingdom,first UK tour
4,Jul,1970,Speakeasy,London,United Kingdom,first UK tour
14,Aug,1970,Barkisland,Yorkshire,United Kingdom,Yorkshire Folk Blues and Jazz Festival
25,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
26,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
27,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
28,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
29,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
30,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
8,Sep,1970,unknown,San Francisco,United States of America,first United States of America tour
11,Sep,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour
12,Sep,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour
2,Oct,1970,Royal Albert Hall,London,United Kingdom,Fotheringay support act
29,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour
30,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour
31,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour
6,Nov,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour
7,Nov,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour
8,Nov,1970,Painters Mill Music Fair,Owings Mills,United States of America,first United States of America tour
12,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour
13,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour
14,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour
15,Nov,1970,Santa Monica Civic Auditorium,Los Angeles,United States of America,first United States of America tour
17,Nov,1970,A&R Studios,New York,United States of America,first United States of America tour
20,Nov,1970,Fillmore East,New York,United States of America,first United States of America tour
21,Nov,1970,Fillmore East,New York,United States of America,first United States of America tour
22,Nov,1970,University Of Bridgeport,Bridgeport,United States of America,first United States of America tour
23,Nov,1970,Glassboro State College,Glassboro,United States of America,first United States of America tour
25,Nov,1970,Auditorium Theatre,Chicago,United States of America,first United States of America tour
26,Nov,1970,Cleveland Music Hall,Cleveland,United States of America,first United States of America tour
27,Nov,1970,Eastown Theatre,Detroit,United States of America,first United States of America tour
28,Nov,1970,Eastown Theatre,Detroit,United States of America,first United States of America tour
29,Nov,1970,Guthrie Theater,Minneapolis,United States of America,first United States of America tour
1,Dec,1970,Champ Auditorium,Fulton,United States of America,first United States of America tour
2,Dec,1970,Onondaga War Memorial,Syracuse,United States of America,first United States of America tour
4,Dec,1970,Anaheim Convention Center,Anaheim,United States of America,first United States of America tour
5,Dec,1970,Swing Auditorium,San Bernardino,United States of America,first United States of America tour
6,Dec,1970,Royce Hall,Los Angeles,United States of America,first United States of America tour
20,Dec,1970,Roundhouse,London,United Kingdom,Winter 1971 Tour
2,Jan,1971,Mothers,Birmingham,United Kingdom,Winter 1971 Tour
3,Jan,1971,Pavilion,Hemel Hempstead,United Kingdom,Winter 1971 Tour
8,Jan,1971,Country Club,Hampstead,United Kingdom,Winter 1971 Tour
9,Jan,1971,Village Blues Club,Dagenham,United Kingdom,Winter 1971 Tour
10,Jan,1971,Guildford Civic Hall,Guildford,United Kingdom,Winter 1971 Tour
11,Jan,1971,Winter Gardens,Cleethropes,United Kingdom,Winter 1971 Tour
13,Jan,1971,City Hall,Hull,United Kingdom,Winter 1971 Tour
