Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Ballad Of A Well-Known Gun,Tumbleweed Connection,1970,4:59,4,0.702,0.733,2,-9.331,1,0.0347,0.284,0.0011,0.0839,0.802,132.497,24
Come Down In Time,Tumbleweed Connection,1970,3:25,4,0.53,0.285,4,-14.052,0,0.0344,0.663,0.000127,0.0834,0.172,117.704,23
Country Comfort,Tumbleweed Connection,1970,5:06,4,0.55,0.608,9,-10.69,1,0.0371,0.465,0,0.12,0.584,136.02,24
Son Of Your Father,Tumbleweed Connection,1970,3:48,4,0.542,0.72,8,-10.169,1,0.0824,0.27,0,0.185,0.767,159.057,21
My Father's Gun,Tumbleweed Connection,1970,6:20,4,0.436,0.429,3,-10.884,1,0.0319,0.511,0.000103,0.104,0.223,119.025,23
Where To Now St. Peter?,Tumbleweed Connection,1970,4:11,4,0.59,0.416,4,-13.821,1,0.0314,0.349,0.00323,0.106,0.356,128.775,23
Love Song,Tumbleweed Connection,1970,3:41,4,0.364,0.126,2,-22.956,1,0.0283,0.788,0.00000638,0.0827,0.448,164.66,25
Amoreena,Tumbleweed Connection,1970,5:00,4,0.555,0.614,0,-10.067,1,0.0337,0.76,0,0.203,0.508,128.761,25
Talking Old Soldiers,Tumbleweed Connection,1970,4:06,3,0.559,0.109,8,-13.945,1,0.0502,0.836,0,0.0979,0.0806,71.008,19
Burn Down The Mission,Tumbleweed Connection,1970,6:21,4,0.43,0.651,0,-10.184,1,0.0371,0.0838,0.0429,0.184,0.535,120.36,24
There Goes A Well Known Gun - Previously Unreleased,Tumbleweed Connection,1970,3:27,4,0.57,0.754,2,-8.123,1,0.0406,0.301,0.0191,0.0915,0.882,148.85,16
Come Down In Time - Piano Demo Previously Unreleased,Tumbleweed Connection,1970,3:21,4,0.436,0.273,4,-13.58,0,0.0318,0.958,0.00198,0.115,0.227,132.886,15
Country Comfort - Piano Demo Previously Unreleased,Tumbleweed Connection,1970,4:12,4,0.589,0.346,9,-8.611,1,0.034,0.917,0,0.0716,0.21,71.385,14
Son Of Your Father - Previously Unreleased,Tumbleweed Connection,1970,4:12,4,0.598,0.496,7,-8.836,0,0.0549,0.87,0.0000012,0.0743,0.441,74.171,12
Talking Old Soldiers - Piano Demo Previously Unreleased,Tumbleweed Connection,1970,4:13,4,0.549,0.157,0,-12.305,0,0.0418,0.976,0.000336,0.0972,0.0876,121.862,11
Into The Old Man's Shoes - Piano Demo Previously Unreleased,Tumbleweed Connection,1970,3:40,4,0.596,0.465,8,-9.587,1,0.0325,0.981,0.000448,0.266,0.462,139.351,11
