Day,Month,Year,Venue,City,Country,Tour,Latitude,Longitude
25,Mar,1970,Revolution Club,London,England,first UK tour,51.4893335,-0.1440551
21,Apr,1970,Roundhouse,London,England,first UK tour,51.4893335,-0.1440551
7,May,1970,Roadhouse,London,England,first UK tour,51.4893335,-0.1440551
9,May,1970,Slough College Main Hall,Slough,England,first UK tour,51.5111014,-0.5940682
22,May,1970,BBC Studios,London,England,first UK tour,51.4893335,-0.1440551
6,Jun,1970,Marquee Club,London,England,first UK tour,51.4893335,-0.1440551
13,Jun,1970,Queens Hall,Narberth,England,first UK tour,51.6944318,-2.4579382
17,Jun,1970,Lyceum Ballroom,London,England,first UK tour,51.4893335,-0.1440551
26,Jun,1970,St Mary's College,Twickenham,England,first UK tour,51.4467444,-0.3281887
3,Jul,1970,Hampstead Country Club,London,England,first UK tour,51.4893335,-0.1440551
4,Jul,1970,Speakeasy,London,England,first UK tour,51.4893335,-0.1440551
14,Aug,1970,Barkisland,Yorkshire,England,Yorkshire Folk Blues and Jazz Festival,53.9825271,-1.38525
25,Aug,1970,Troubadour Club,Los Angeles,USA,first USA tour,34.0536909,-118.242766
26,Aug,1970,Troubadour Club,Los Angeles,USA,first USA tour,34.0536909,-118.242766
27,Aug,1970,Troubadour Club,Los Angeles,USA,first USA tour,34.0536909,-118.242766
28,Aug,1970,Troubadour Club,Los Angeles,USA,first USA tour,34.0536909,-118.242766
29,Aug,1970,Troubadour Club,Los Angeles,USA,first USA tour,34.0536909,-118.242766
30,Aug,1970,Troubadour Club,Los Angeles,USA,first USA tour,34.0536909,-118.242766
8,Sep,1970,unknown,San Francisco,USA,first USA tour,37.7792588,-122.4193286
11,Sep,1970,The Electric Factory,Philadelphia,USA,first USA tour,39.9527237,-75.1635262
12,Sep,1970,The Electric Factory,Philadelphia,USA,first USA tour,39.9527237,-75.1635262
2,Oct,1970,Royal Albert Hall,London,England,Fotheringay support act,51.4893335,-0.1440551
29,Oct,1970,Boston Tea Party,Boston,USA,first USA tour,42.3554334,-71.060511
30,Oct,1970,Boston Tea Party,Boston,USA,first USA tour,42.3554334,-71.060511
31,Oct,1970,Boston Tea Party,Boston,USA,first USA tour,42.3554334,-71.060511
6,Nov,1970,The Electric Factory,Philadelphia,USA,first USA tour,39.9527237,-75.1635262
7,Nov,1970,The Electric Factory,Philadelphia,USA,first USA tour,39.9527237,-75.1635262
8,Nov,1970,Painters Mill Music Fair,Owings Mills,USA,first USA tour,39.4148436,-76.7918234
12,Nov,1970,Fillmore West,San Francisco,USA,first USA tour,37.7792588,-122.4193286
13,Nov,1970,Fillmore West,San Francisco,USA,first USA tour,37.7792588,-122.4193286
14,Nov,1970,Fillmore West,San Francisco,USA,first USA tour,37.7792588,-122.4193286
15,Nov,1970,Santa Monica Civic Auditorium,Los Angeles,USA,first USA tour,34.0536909,-118.242766
17,Nov,1970,A&R Studios,New York,USA,first USA tour,40.7127281,-74.0060152
20,Nov,1970,Fillmore East,New York,USA,first USA tour,40.7127281,-74.0060152
21,Nov,1970,Fillmore East,New York,USA,first USA tour,40.7127281,-74.0060152
22,Nov,1970,University Of Bridgeport,Bridgeport,USA,first USA tour,41.1792695,-73.1887863
23,Nov,1970,Glassboro State College,Glassboro,USA,first USA tour,39.7027677,-75.1119434
25,Nov,1970,Auditorium Theatre,Chicago,USA,first USA tour,41.8755616,-87.6244212
26,Nov,1970,Cleveland Music Hall,Cleveland,USA,first USA tour,41.4996574,-81.6936772
27,Nov,1970,Eastown Theatre,Detroit,USA,first USA tour,42.3315509,-83.0466403
28,Nov,1970,Eastown Theatre,Detroit,USA,first USA tour,42.3315509,-83.0466403
29,Nov,1970,Guthrie Theater,Minneapolis,USA,first USA tour,44.9772995,-93.2654692
1,Dec,1970,Champ Auditorium,Fulton,USA,first USA tour,40.4714305,-90.1845556
2,Dec,1970,Onondaga War Memorial,Syracuse,USA,first USA tour,43.0481221,-76.1474244
4,Dec,1970,Anaheim Convention Center,Anaheim,USA,first USA tour,33.8347516,-117.911732
5,Dec,1970,Swing Auditorium,San Bernardino,USA,first USA tour,34.8253019,-116.0833144
6,Dec,1970,Royce Hall,Los Angeles,USA,first USA tour,34.0536909,-118.242766
20,Dec,1970,Roundhouse,London,England,Winter 1971 Tour,51.4893335,-0.1440551
2,Jan,1971,Mothers,Birmingham,England,Winter 1971 Tour,52.4796992,-1.9026911
3,Jan,1971,Pavilion,Hemel Hempstead,England,Winter 1971 Tour,51.7511784,-0.472528
8,Jan,1971,Country Club,Hampstead,England,Winter 1971 Tour,51.55653,-0.1783011
9,Jan,1971,Village Blues Club,Dagenham,England,Winter 1971 Tour,51.5413271,0.1481142
10,Jan,1971,Guildford Civic Hall,Guildford,England,Winter 1971 Tour,51.2356068,-0.5732063
11,Jan,1971,Winter Gardens,Cleethropes,England,Winter 1971 Tour,,
13,Jan,1971,City Hall,Hull,England,Winter 1971 Tour,53.7623862,-0.3301214
15,Jan,1971,University Old Union Refectory,Southampton,England,Winter 1971 Tour,50.9025349,-1.404189
16,Jan,1971,Loughborough University,Loughborough,England,Winter 1971 Tour,52.7723859,-1.2077985
27,Jan,1971,Liverpool Philharmonic,Liverpool,England,Winter 1971 Tour,53.4071991,-2.99168
31,Jan,1971,The Fox,Croydon,England,Winter 1971 Tour,51.3713049,-0.101957
1,Feb,1971,Cooks Ferry Inn,Edmonton,England,Winter 1971 Tour,51.6267968,-0.0769118
5,Feb,1971,Lanchester Polytechnic Main Hall,Coventry,England,Lanchester Arts Festival,52.4081812,-1.510477
6,Feb,1971,Leeds University,Leeds,England,Winter 1971 Tour,53.7974185,-1.5437941
9,Feb,1971,Bumpers,London,England,Winter 1971 Tour,51.4893335,-0.1440551
